id,name,description,details
SYM-001,Intent is obvious,A reader can understand what this unit is for without reverse engineering the whole surrounding system.,"This asks whether the purpose of the unit is apparent from its shape, naming, and placement. A reader should be able to answer what problem it solves, what role it plays, and roughly where to look next without reconstructing hidden intent from implementation detail. In review, this is about how much interpretation work the reader must do before they can trust what the code is trying to accomplish. Strong signals are names, structure, and local flow that let another engineer build a correct mental model quickly. Weak signals are vague labels, mixed levels of abstraction, hidden assumptions, or a need to chase many references before the unit makes sense. The educational point is that readability is not cosmetic; it is what makes future change, debugging, and review safe. For this specific symptom, the reviewer should ask whether the change makes 'Intent is obvious' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-002,Names are domain-specific and precise,Names use the language of the domain and distinguish meaning clearly enough that readers do not have to infer intent from surrounding context.,"Good naming carries both familiarity and precision. The best names use the vocabulary that the surrounding domain, tests, and documentation already use, while also being specific enough to distinguish one idea, responsibility, or state from another. Review is not only about whether a name sounds reasonable in isolation, but whether it reduces interpretation work for the next reader.

Strong signs include names that map cleanly to business concepts, technical concepts, or established system terms; names that make different responsibilities visibly different; and identifiers that remain clear even when read away from the call site. Weak signs include generic placeholders such as manager, data, process, handle, util, or thing-like labels that hide what the code actually represents; names that depend heavily on comments to become understandable; and parallel terms that appear to mean the same thing or the same term reused for different meanings.

This symptom matters because names are part of the interface of every unit, even when the code is private. Imprecise or non-domain naming increases review friction, makes change risk harder to see, and encourages incorrect assumptions to spread. Maintainable code tends to let a reader predict behavior from names before reading the implementation. When this symptom is weak, the code becomes harder to search, harder to discuss, and easier to misuse."
SYM-003,Concepts have explicit types,"Important domain concepts are represented explicitly rather than being flattened into vague primitives, strings, flags, and maps.","When a concept matters to correctness, readability, or change safety, it usually deserves an explicit type or structured representation. This makes invariants visible, reduces misuse, and keeps domain rules from leaking into scattered primitive checks. In review, this is about how much interpretation work the reader must do before they can trust what the code is trying to accomplish. Strong signals are names, structure, and local flow that let another engineer build a correct mental model quickly. Weak signals are vague labels, mixed levels of abstraction, hidden assumptions, or a need to chase many references before the unit makes sense. The educational point is that readability is not cosmetic; it is what makes future change, debugging, and review safe. For this specific symptom, the reviewer should ask whether the change makes 'Concepts have explicit types' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-004,Related things live together,"Logic, data, and rules that belong together are not scattered across distant files or layers.","High maintainability depends on proximity of related behavior, rules, and data. When logic that changes together is split across many places, readers lose context and changes start missing one of the required touch points. In review, this is about how much interpretation work the reader must do before they can trust what the code is trying to accomplish. Strong signals are names, structure, and local flow that let another engineer build a correct mental model quickly. Weak signals are vague labels, mixed levels of abstraction, hidden assumptions, or a need to chase many references before the unit makes sense. The educational point is that readability is not cosmetic; it is what makes future change, debugging, and review safe. For this specific symptom, the reviewer should ask whether the change makes 'Related things live together' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-005,Levels of abstraction are aligned,"A unit of code operates at one conceptual level at a time instead of mixing policy, orchestration, formatting, and low-level detail.","A unit should operate at a coherent conceptual altitude. Mixing business policy with formatting, transport, persistence, or framework plumbing forces the reader to reason across multiple layers at once and makes future extraction harder. In review, this is about how much interpretation work the reader must do before they can trust what the code is trying to accomplish. Strong signals are names, structure, and local flow that let another engineer build a correct mental model quickly. Weak signals are vague labels, mixed levels of abstraction, hidden assumptions, or a need to chase many references before the unit makes sense. The educational point is that readability is not cosmetic; it is what makes future change, debugging, and review safe. For this specific symptom, the reviewer should ask whether the change makes 'Levels of abstraction are aligned' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-006,Public contracts are documented,"Public or easy-to-misuse interfaces explain their guarantees, constraints, error cases, side effects, and expected usage.","Some interfaces can be misused even when their code is clean. For those, documentation should explain constraints, error modes, side effects, ordering assumptions, and any subtle contract points that are not obvious from the type signature alone. In review, this is about how much interpretation work the reader must do before they can trust what the code is trying to accomplish. Strong signals are names, structure, and local flow that let another engineer build a correct mental model quickly. Weak signals are vague labels, mixed levels of abstraction, hidden assumptions, or a need to chase many references before the unit makes sense. The educational point is that readability is not cosmetic; it is what makes future change, debugging, and review safe. For this specific symptom, the reviewer should ask whether the change makes 'Public contracts are documented' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-007,Comments explain why,"Comments justify intent, tradeoffs, or non-obvious constraints rather than narrating what the code already says.","Useful comments preserve intent that the code itself cannot show, such as why a tradeoff exists, what external constraint shaped the solution, or which assumption must remain true. They should not duplicate the visible control flow. In review, this is about how much interpretation work the reader must do before they can trust what the code is trying to accomplish. Strong signals are names, structure, and local flow that let another engineer build a correct mental model quickly. Weak signals are vague labels, mixed levels of abstraction, hidden assumptions, or a need to chase many references before the unit makes sense. The educational point is that readability is not cosmetic; it is what makes future change, debugging, and review safe. For this specific symptom, the reviewer should ask whether the change makes 'Comments explain why' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
SYM-008,Code is easy to follow locally,Control flow and structure are linear and bounded enough that a reviewer can understand a unit without chasing large amounts of external context.,"Maintainable code should allow mostly local reasoning. A reader should be able to step through a function or unit in a forward pass, with limited jumping across helpers, conditions, and distant files just to understand the main path. The point is not that every piece of context disappears, but that the amount of hidden context stays small enough for the unit to remain intelligible on its own.

Strong signs include control flow that unfolds in a readable sequence; helpers that clarify rather than fragment the story; a unit whose purpose, assumptions, and main branches can be understood without loading half the codebase; and boundaries that keep relevant state and rules nearby. Weak signs include frequent mental backtracking, helper chains that obscure rather than clarify, behavior that only makes sense after discovering hidden state elsewhere, and units whose meaning depends on tribal knowledge or many distant conventions.

This symptom matters because local reasoning is one of the foundations of safe maintenance. If the reader cannot understand the unit in a bounded scope, review quality drops, debugging slows down, and small changes become risky. Code that reads linearly and can be reasoned about locally is easier to test, easier to refactor, and less likely to produce accidental breakage."
SYM-009,Function shape is cohesive and tractable,"A function has one clear job, stays small enough to understand as a whole, and takes a set of inputs that reflects its true responsibility.","A good function is cohesive in purpose, tractable in size, and honest about what it depends on. These properties reinforce each other. When a function truly has one job, its flow tends to stay compact enough to hold in working memory, and its parameters tend to reflect the minimum meaningful inputs for that responsibility rather than a grab bag of context.

Strong signs include a function whose name describes one responsibility, whose internal steps all serve that responsibility, whose size does not force the reader through multiple unrelated conceptual phases, and whose parameters reveal the data or collaborators the function genuinely needs. Weak signs include orchestration, validation, transformation, persistence, logging, and formatting all mixed together; long functions that scroll through several mental modes; parameter lists that are bloated, generic, or obviously shaped around caller convenience; and context objects passed only because the function has unclear boundaries.

This symptom matters because function shape is where maintainability is often won or lost. Overgrown or unfocused functions become hard to review, hard to test, and hard to change without collateral damage. A cohesive and bounded function makes intent visible, isolates reasons to change, and gives reviewers a realistic chance of understanding the whole unit rather than merely skimming fragments of it."
SYM-010,Side effects are visible,"A reader can tell whether a function mutates state, performs I/O, logs, throws, retries, or causes other external effects.","Good code makes side effects legible. The caller and reviewer should not have to discover by surprise that a function mutates shared state, performs network I O, logs, retries, or triggers other externally visible behavior. In review, this is about how much interpretation work the reader must do before they can trust what the code is trying to accomplish. Strong signals are names, structure, and local flow that let another engineer build a correct mental model quickly. Weak signals are vague labels, mixed levels of abstraction, hidden assumptions, or a need to chase many references before the unit makes sense. The educational point is that readability is not cosmetic; it is what makes future change, debugging, and review safe. For this specific symptom, the reviewer should ask whether the change makes 'Side effects are visible' easier to see and rely on, or whether it makes the surrounding code more ambiguous. A good detail line here should help a future reviewer explain not only what this symptom means, but also why its absence raises maintenance cost, defect risk, or review uncertainty."
